company
name|address|type|owner
(주)브리에잇|경기도 용인시 처인구 모현읍 곡현로 784 2층|화장품책임판매|박진평
(주)웅진투투럽|서울특별시 서초구  동작대로 186 , 7층 702호(방배동, 신흥빌딩)|화장품책임판매|윤형덕
(주)웅진투투럽|경기도 파주시 문발로 77(문발동,북센물류3층)|화장품제조|윤형덕
(주)케이탑|충청북도 음성군 삼성면 대덕로 287 2층 204호|화장품책임판매|정기룡
(주)향기공장|서울특별시 영등포구  선유로3길 10 , 6층 619호 (문래동5가, 하우스디비즈)|화장품책임판매|문태주
글로벌그린에너지|경기도 김포시  김포한강8로 173-28 한강신도시 반도유보라3차112동 1002호|화장품책임판매|권혜숙
마노코스|경기도 광주시 오포읍 문형산길 87-3 1동 4층 1호|화장품책임판매|정미광
미 아로마|전라남도 목포시  호남로64번길 23 1층|화장품제조|김소희
블루트레이딩(주)|서울특별시 마포구 월드컵로42길 40, 205호 (상암동, 상암근린상가)|화장품책임판매|안병주
어바웃스킨(ABOUTSKIN)|대전광역시 중구  선화로97번길 21 4층 401호|화장품책임판매|성영숙
주식회사 프랜더마내츄라|부산광역시 해운대구  센텀동로 45 1층 일부(우동, 비스퀘어비즈니스센터)|화장품책임판매|김용민
주식회사아더올|경기도 화성시  동탄순환대로 878 동탄IT타워 610호|화장품제조|문정민
주식회사이바이랜드|서울특별시 서초구  방배로34길 13 (방배동,부림빌딩2층)|화장품책임판매|노찬래
큐지온(QUZION)|서울특별시 강남구  학동로56길 47 2층 좌측내실(삼성동,삼성빌리지)|화장품책임판매|한채운
플러그인스킨|광주광역시 동구  충장로 101-6 (충장로 1가)|화장품책임판매|장은영
(DIY)컨츄리하우스|전라남도 목포시  영산로75번길 4-2 (상락동2가)|화장품책임판매|안창선
(DIY)컨츄리하우스|전라남도 목포시  영산로75번길 4-2 (상락동2가)|화장품제조|안창선
(사)담배인삼공제회|대전광역시 대덕구  벚꽃길 71|화장품책임판매|문봉주
(사)시민생활환경회의|광주광역시 광산구  소촌로 97|화장품책임판매|김강열
(사)시민생활환경회의|광주광역시 광산구  소촌로 97|화장품제조|김강열
